fips,state,usps,geo_code,median_income,premature_death,obesity,uninsured,child_poverty,unemployment,pct_rural
01,Alabama,AL,US-AL,62248,11853.2,38.4,10.5,21.3,2.5,42.3
02,Alaska,AK,US-AK,88696,10028.0,32.3,13.3,12.5,4.2,35.1
04,Arizona,AZ,US-AZ,77158,9457.3,33.5,12.7,15.8,3.9,10.7
05,Arkansas,AR,US-AR,58748,11384.0,37.9,10.0,20.2,3.3,44.5
06,California,CA,US-CA,95473,6744.1,28.3,7.5,15,4.8,5.8
08,Colorado,CO,US-CO,92790,7405.1,25,8.4,10.9,3.2,14.0
09,Connecticut,CT,US-CT,91477,6702.9,30.7,6.1,13,3.8,13.7
10,Delaware,DE,US-DE,81615,8958.8,38,6.9,15.4,4.0,17.4
11,District of Columbia,DC,US-DC,104643,9241.4,25.1,3.1,20.7,4.9,0
12,Florida,FL,US-FL,73283,8552.7,31.7,13.9,16,2.9,8.5
13,Georgia,GA,US-GA,74521,9405.7,37.4,13.6,18.8,3.2,25.9
15,Hawaii,HI,US-HI,96716,6298.6,27,4.3,11.8,3.0,13.9
16,Idaho,ID,US-ID,74859,7098.8,33.6,9.8,11.3,3.1,30.8
17,Illinois,IL,US-IL,80346,7920.5,33,7.7,14.7,4.5,13.1
18,Indiana,IN,US-IN,69458,9809.9,38.4,8.2,15.1,3.3,28.8
19,Iowa,IA,US-IA,71662,7201.1,37.8,5.4,13,2.9,36.8
20,Kansas,KS,US-KS,70316,8588.6,36.5,10.2,13.1,2.7,27.7
21,Kentucky,KY,US-KY,61099,11686.5,38.1,6.6,20.2,4.2,41.3
22,Louisiana,LA,US-LA,58273,12185.4,40.3,8.3,25.2,3.7,28.5
23,Maine,ME,US-ME,73463,8420.7,33.4,8.4,12.6,2.9,61.4
24,Maryland,MD,US-MD,98568,8091.1,33.5,6.8,11.3,2.1,14.4
25,Massachusetts,MA,US-MA,99750,5974.5,27.1,2.9,12.7,3.4,8.7
26,Michigan,MI,US-MI,69097,8798.0,34.6,5.5,17.5,3.9,26.5
27,Minnesota,MN,US-MN,85070,6461.9,33.6,5.4,10.2,2.8,28.1
28,Mississippi,MS,US-MS,54386,13327.7,40.1,13.1,24.3,3.2,53.7
29,Missouri,MO,US-MO,68484,9969.6,36.7,10.2,14.7,3.1,30.5
30,Montana,MT,US-MT,70939,8781.7,30.8,10.5,12.8,2.9,46.6
31,Nebraska,NE,US-NE,74727,7072.1,35.6,7.7,11.1,2.3,27.0
32,Nevada,NV,US-NV,76332,8741.1,33.9,13.2,16.4,5.1,5.9
33,New Hampshire,NH,US-NH,97031,6622.4,30,6.2,8.2,2.2,41.7
34,New Jersey,NJ,US-NJ,99716,6562.3,29,8.0,12.8,4.4,6.2
35,New Mexico,NM,US-NM,62286,12363.3,33.4,10.6,22.6,3.8,25.5
36,New York,NY,US-NY,82052,6637.2,30.3,5.7,18.6,4.2,12.6
37,North Carolina,NC,US-NC,70838,9440.6,34.2,11.2,17.5,3.5,33.3
38,North Dakota,ND,US-ND,77346,8019.9,36.2,7.2,10.1,1.9,39.0
39,Ohio,OH,US-OH,67873,9740.0,38.4,7.1,17.5,3.5,23.7
40,Oklahoma,OK,US-OK,62120,10910.7,40.6,14.3,20.5,3.2,35.4
41,Oregon,OR,US-OR,80061,7218.7,31.1,7.4,13.6,3.7,19.5
42,Pennsylvania,PA,US-PA,73826,8274.3,32.9,6.5,15.5,3.4,23.5
44,Rhode Island,RI,US-RI,83518,6529.4,30.9,5.2,15.1,3.0,8.9
45,South Carolina,SC,US-SC,67988,10824.2,35.5,11.0,18.8,3.0,32.1
46,South Dakota,SD,US-SD,72794,8929.5,37.2,10.0,13.5,2.0,42.8
47,Tennessee,TN,US-TN,67651,11635.8,39.1,11.1,18.9,3.3,33.8
48,Texas,TX,US-TX,75778,8233.1,35.7,18.8,18.4,3.9,16.3
49,Utah,UT,US-UT,93030,6429.0,31.8,9.2,9.2,2.6,10.2
50,Vermont,VT,US-VT,80626,7141.9,26.9,4.9,10.2,2.0,64.9
51,Virginia,VA,US-VA,89864,7738.5,35.4,7.5,12.7,2.9,24.4
53,Washington,WA,US-WA,94553,6780.9,31.6,7.2,12.1,4.1,16.6
54,West Virginia,WV,US-WV,55875,13324.1,41.5,7.4,19.6,3.9,55.4
55,Wisconsin,WI,US-WI,74671,7447.4,38.1,6.3,12.8,3.0,32.9
56,Wyoming,WY,US-WY,73558,8978.2,34.6,14.1,12,2.9,38.0
