year,fips,state,usps,child_poverty,premature_death,pct_rural,uninsured,source
2016,01,Alabama,AL,24.4,9454.2,42.3,17.0,simulated
2017,01,Alabama,AL,24.1,9735.0,42.3,16.1,simulated
2018,01,Alabama,AL,23.8,9877.6,42.3,15.9,simulated
2019,01,Alabama,AL,23.2,10157.7,42.3,14.7,simulated
2020,01,Alabama,AL,22.7,11101.2,42.3,14.6,simulated
2021,01,Alabama,AL,22.6,11685.7,42.3,13.4,simulated
2022,01,Alabama,AL,22.3,11329.9,42.3,12.8,simulated
2023,01,Alabama,AL,21.9,11207.8,42.3,12.0,simulated
2024,01,Alabama,AL,21.8,11415.7,42.3,11.7,real
2025,01,Alabama,AL,21.3,11853.2,42.3,10.5,real
2016,02,Alaska,AK,17.5,6838.0,35.1,12.6,simulated
2017,02,Alaska,AK,16.9,7110.4,35.1,12.6,simulated
2018,02,Alaska,AK,16.5,7264.7,35.1,12.6,simulated
2019,02,Alaska,AK,15.7,7665.8,35.1,12.7,simulated
2020,02,Alaska,AK,15.0,8567.4,35.1,12.6,simulated
2021,02,Alaska,AK,14.6,9176.9,35.1,12.9,simulated
2022,02,Alaska,AK,14.1,8988.0,35.1,13.0,simulated
2023,02,Alaska,AK,13.6,8981.6,35.1,12.9,simulated
2024,02,Alaska,AK,13.4,9414.8,35.1,13.2,real
2025,02,Alaska,AK,12.5,10028.0,35.1,13.3,real
2016,04,Arizona,AZ,16.9,6361.7,10.7,14.7,simulated
2017,04,Arizona,AZ,16.6,6610.3,10.7,14.4,simulated
2018,04,Arizona,AZ,16.6,6960.1,10.7,14.6,simulated
2019,04,Arizona,AZ,16.9,7123.0,10.7,14.4,simulated
2020,04,Arizona,AZ,16.7,7870.0,10.7,14.1,simulated
2021,04,Arizona,AZ,16.4,8687.4,10.7,13.7,simulated
2022,04,Arizona,AZ,16.4,8534.4,10.7,13.5,simulated
2023,04,Arizona,AZ,16.2,8455.4,10.7,13.5,simulated
2024,04,Arizona,AZ,16,8865.5,10.7,13.1,real
2025,04,Arizona,AZ,15.8,9457.3,10.7,12.7,real
2016,05,Arkansas,AR,25.4,8289.0,44.5,16.0,simulated
2017,05,Arkansas,AR,24.8,8551.6,44.5,15.1,simulated
2018,05,Arkansas,AR,24.5,8841.6,44.5,14.7,simulated
2019,05,Arkansas,AR,24.1,9325.7,44.5,13.9,simulated
2020,05,Arkansas,AR,23.3,10135.6,44.5,13.6,simulated
2021,05,Arkansas,AR,22.9,10884.6,44.5,12.5,simulated
2022,05,Arkansas,AR,22.6,10487.0,44.5,12.3,simulated
2023,05,Arkansas,AR,21.5,10471.5,44.5,11.4,simulated
2024,05,Arkansas,AR,21.2,10823.1,44.5,11.1,real
2025,05,Arkansas,AR,20.2,11384.0,44.5,10.0,real
2016,06,California,CA,16.6,4773.7,5.8,10.6,simulated
2017,06,California,CA,16.4,4892.9,5.8,10.2,simulated
2018,06,California,CA,15.9,5032.5,5.8,10.0,simulated
2019,06,California,CA,16.2,5444.8,5.8,9.6,simulated
2020,06,California,CA,15.9,6024.6,5.8,9.0,simulated
2021,06,California,CA,15.9,6405.8,5.8,9.2,simulated
2022,06,California,CA,15.5,6312.9,5.8,8.4,simulated
2023,06,California,CA,15.5,6140.6,5.8,8.3,simulated
2024,06,California,CA,15.3,6373.2,5.8,8.1,real
2025,06,California,CA,15.0,6744.1,5.8,7.5,real
2016,08,Colorado,CO,11.6,5080.4,14.0,13.3,simulated
2017,08,Colorado,CO,12.2,5370.7,14.0,12.6,simulated
2018,08,Colorado,CO,11.6,5508.9,14.0,12.5,simulated
2019,08,Colorado,CO,11.4,5866.6,14.0,11.9,simulated
2020,08,Colorado,CO,11.7,6316.6,14.0,11.1,simulated
2021,08,Colorado,CO,11.3,6840.6,14.0,11.0,simulated
2022,08,Colorado,CO,11.2,6931.0,14.0,10.7,simulated
2023,08,Colorado,CO,11.5,6827.7,14.0,9.9,simulated
2024,08,Colorado,CO,11.1,6993.8,14.0,9.3,real
2025,08,Colorado,CO,10.9,7405.1,14.0,8.4,real
2016,09,Connecticut,CT,12.3,5391.6,13.7,5.3,simulated
2017,09,Connecticut,CT,12.8,5683.8,13.7,5.3,simulated
2018,09,Connecticut,CT,13.0,5720.8,13.7,6.1,simulated
2019,09,Connecticut,CT,13.0,5885.6,13.7,5.9,simulated
2020,09,Connecticut,CT,12.4,6437.8,13.7,6.0,simulated
2021,09,Connecticut,CT,13.0,6603.0,13.7,6.1,simulated
2022,09,Connecticut,CT,12.8,6457.7,13.7,5.8,simulated
2023,09,Connecticut,CT,12.9,6349.3,13.7,6.1,simulated
2024,09,Connecticut,CT,12.9,6480.4,13.7,6.0,real
2025,09,Connecticut,CT,13.0,6702.9,13.7,6.1,real
2016,10,Delaware,DE,9.8,6843.8,17.4,6.4,simulated
2017,10,Delaware,DE,9.9,7234.2,17.4,6.4,simulated
2018,10,Delaware,DE,10.7,7444.6,17.4,6.4,simulated
2019,10,Delaware,DE,11.6,7644.5,17.4,6.6,simulated
2020,10,Delaware,DE,12.0,8333.7,17.4,6.9,simulated
2021,10,Delaware,DE,12.7,8837.8,17.4,7.1,simulated
2022,10,Delaware,DE,13.2,8401.4,17.4,7.1,simulated
2023,10,Delaware,DE,14.0,8476.3,17.4,6.9,simulated
2024,10,Delaware,DE,14.3,8590.2,17.4,6.9,real
2025,10,Delaware,DE,15.4,8958.8,17.4,6.9,real
2016,11,District of Columbia,DC,17.3,7749.1,0.0,6.7,simulated
2017,11,District of Columbia,DC,17.3,7886.9,0.0,6.2,simulated
2018,11,District of Columbia,DC,17.8,8039.0,0.0,5.8,simulated
2019,11,District of Columbia,DC,18.2,8208.5,0.0,5.1,simulated
2020,11,District of Columbia,DC,18.7,8886.2,0.0,5.4,simulated
2021,11,District of Columbia,DC,19.1,9204.2,0.0,4.8,simulated
2022,11,District of Columbia,DC,19.6,8966.6,0.0,4.3,simulated
2023,11,District of Columbia,DC,19.4,8835.7,0.0,3.8,simulated
2024,11,District of Columbia,DC,20,8976.0,0.0,3.7,real
2025,11,District of Columbia,DC,20.7,9241.4,0.0,3.1,real
2016,12,Florida,FL,23.2,7071.0,8.5,20.2,simulated
2017,12,Florida,FL,22.4,7259.7,8.5,20.1,simulated
2018,12,Florida,FL,21.3,7385.9,8.5,19.4,simulated
2019,12,Florida,FL,20.7,7500.4,8.5,18.1,simulated
2020,12,Florida,FL,19.8,8142.8,8.5,17.5,simulated
2021,12,Florida,FL,19.5,8588.4,8.5,17.1,simulated
2022,12,Florida,FL,18.7,8289.2,8.5,16.4,simulated
2023,12,Florida,FL,18.1,8251.1,8.5,15.4,simulated
2024,12,Florida,FL,17.3,8299.1,8.5,15.1,real
2025,12,Florida,FL,16.0,8552.7,8.5,13.9,real
2016,13,Georgia,GA,9.8,6663.3,25.9,20.3,simulated
2017,13,Georgia,GA,11.3,6973.1,25.9,19.2,simulated
2018,13,Georgia,GA,11.6,7292.8,25.9,18.3,simulated
2019,13,Georgia,GA,12.8,7583.5,25.9,18.2,simulated
2020,13,Georgia,GA,13.7,8203.6,25.9,17.5,simulated
2021,13,Georgia,GA,14.6,8845.5,25.9,16.4,simulated
2022,13,Georgia,GA,15.1,8622.1,25.9,16.3,simulated
2023,13,Georgia,GA,16.0,8555.8,25.9,15.7,simulated
2024,13,Georgia,GA,17.2,8920.9,25.9,14.8,real
2025,13,Georgia,GA,18.8,9405.7,25.9,13.6,real
2016,15,Hawaii,HI,13.6,5567.8,13.9,5.0,simulated
