make,price,mpg
AMC Concord,4181,22
AMC Pacer,4844,17
AMC Spirit,3875,22
Buick Century,4912,20
Buick Electra,7984,15
Buick LeSabre,5904,18
Buick Opel,4542,26
Buick Regal,5293,20
Buick Riviera,10579,16
Buick Skylark,4164,19
Cad. Deville,11613,14
Cad. Eldorado,14790,14
Cad. Seville,16224,21
Chev. Chevette,3365,29
Chev. Impala,5819,16
Chev. Malibu,4594,22
Chev. Monte Carlo,5206,22
Chev. Monza,3740,24
Chev. Nova,4034,19
Dodge Colt,4064,30
Dodge Diplomat,4090,18
Dodge Magnum,6004,16
Dodge St. Regis,6469,17
Ford Fiesta,4477,28
Ford Mustang,4271,21
Linc. Continental,11727,12
Linc. Mark V,13866,12
Linc. Versailles,13735,14
Merc. Bobcat,3906,22
Merc. Cougar,5487,14
Merc. Marquis,6288,15
Merc. Monarch,4606,18
Merc. XR-7,6429,14
Merc. Zephyr,3357,20
Olds 98,8990,21
Olds Cutl Supr,5275,19
Olds Cutlass,4828,19
Olds Delta 88,4988,18
Olds Omega,4265,19
Olds Starfire,4279,24
Olds Toronado,10578,16
Plym. Arrow,4740,28
Plym. Champ,4514,34
Plym. Horizon,4572,25
Plym. Sapporo,6616,26
Plym. Volare,4141,18
Pont. Catalina,5914,18
Pont. Firebird,5033,18
Pont. Grand Prix,5326,19
Pont. Le Mans,4817,19
Pont. Phoenix,4512,19
Pont. Sunbird,4255,24
Audi 5000,9884,17
Audi Fox,6421,23
BMW 320i,9930,25
Datsun 200,6354,23
Datsun 210,4681,35
Datsun 510,5181,24
Datsun 810,8292,21
Fiat Strada,4382,21
Honda Accord,5915,25
Honda Civic,4589,28
Mazda GLC,4075,30
Peugeot 604,13250,14
Renault Le Car,3973,26
Subaru,3874,35
Toyota Celica,6017,18
Toyota Corolla,3823,31
Toyota Corona,5833,18
VW Dasher,7283,23
VW Diesel,5505,41
VW Rabbit,4791,25
VW Scirocco,6987,25
Volvo 260,12235,17
