make,price,mpg,weight,foreign
AMC Concord,4263,22,2930,Domestic
AMC Pacer,4939,17,3350,Domestic
AMC Spirit,3951,22,2640,Domestic
Buick Century,5009,20,3250,Domestic
Buick Electra,8140,15,4080,Domestic
Buick LeSabre,6020,18,3670,Domestic
Buick Opel,4631,26,2230,Domestic
Buick Regal,5397,20,3280,Domestic
Buick Riviera,10787,16,3880,Domestic
Buick Skylark,4245,19,3400,Domestic
Cad. Deville,11840,14,4330,Domestic
Cad. Eldorado,15080,14,3900,Domestic
Cad. Seville,16542,21,4290,Domestic
Chev. Chevette,3431,29,2110,Domestic
Chev. Impala,5933,16,3690,Domestic
Chev. Malibu,4684,22,3180,Domestic
Chev. Monte Carlo,5308,22,3220,Domestic
Chev. Monza,3814,24,2750,Domestic
Chev. Nova,4113,19,3430,Domestic
Dodge Colt,4143,30,2120,Domestic
Dodge Diplomat,4170,18,3600,Domestic
Dodge Magnum,6121,16,3600,Domestic
Dodge St. Regis,6596,17,3740,Domestic
Ford Fiesta,4565,28,1800,Domestic
Ford Mustang,4354,21,2650,Domestic
Linc. Continental,11957,12,4840,Domestic
Linc. Mark V,14138,12,4720,Domestic
Linc. Versailles,14005,14,3830,Domestic
Merc. Bobcat,3982,22,2580,Domestic
Merc. Cougar,5594,14,4060,Domestic
Merc. Marquis,6412,15,3720,Domestic
Merc. Monarch,4697,18,3370,Domestic
Merc. XR-7,6555,14,4130,Domestic
Merc. Zephyr,3423,20,2830,Domestic
Olds 98,9167,21,4060,Domestic
Olds Cutl Supr,5379,19,3310,Domestic
Olds Cutlass,4922,19,3300,Domestic
Olds Delta 88,5086,18,3690,Domestic
Olds Omega,4348,19,3370,Domestic
Olds Starfire,4363,24,2730,Domestic
Olds Toronado,10786,16,4030,Domestic
Plym. Arrow,4833,28,3260,Domestic
Plym. Champ,4602,34,1800,Domestic
Plym. Horizon,4661,25,2200,Domestic
Plym. Sapporo,6745,26,2520,Domestic
Plym. Volare,4222,18,3330,Domestic
Pont. Catalina,6030,18,3700,Domestic
Pont. Firebird,5131,18,3470,Domestic
Pont. Grand Prix,5431,19,3210,Domestic
Pont. Le Mans,4912,19,3200,Domestic
Pont. Phoenix,4601,19,3420,Domestic
Pont. Sunbird,4339,24,2690,Domestic
Audi 5000,10078,17,2830,Foreign
Audi Fox,6547,23,2070,Foreign
BMW 320i,10124,25,2650,Foreign
Datsun 200,6478,23,2370,Foreign
Datsun 210,4773,35,2020,Foreign
Datsun 510,5282,24,2280,Foreign
Datsun 810,8454,21,2750,Foreign
Fiat Strada,4468,21,2130,Foreign
Honda Accord,6031,25,2240,Foreign
Honda Civic,4679,28,1760,Foreign
Mazda GLC,4155,30,1980,Foreign
Peugeot 604,13510,14,3420,Foreign
Renault Le Car,4051,26,1830,Foreign
Subaru,3950,35,2050,Foreign
Toyota Celica,6135,18,2410,Foreign
Toyota Corolla,3898,31,2200,Foreign
Toyota Corona,5948,18,2670,Foreign
VW Dasher,7426,23,2160,Foreign
VW Diesel,5613,41,2040,Foreign
VW Rabbit,4885,25,1930,Foreign
VW Scirocco,7124,25,1990,Foreign
Volvo 260,12475,17,3170,Foreign
